case,pwin,ploss
378us226,3.659810997271179e-16,1.0
377us463,0.1855417519331349,0.8144582480668779
377us58,7.906863872264548e-14,0.9999999999999432
378us478,2.0199178318374423e-12,0.9999999999979536
376us120,4.515235259817991e-11,0.9999999999548663
377us214,1.0,5.606304297403182e-14
376us575,0.021846867808334256,0.9781531321916801
376us560,1.0,5.085430429522028e-16
375us85,2.886643406306047e-14,1.0
377us408,2.4935144752838115e-12,0.9999999999974989
377us476,1.8739070128187066e-11,0.9999999999812417
376us528,0.9999999999989768,1.0552512839955907e-12
377us184,2.769114512806845e-11,0.9999999999723173
378us184,2.1935661684428635e-12,0.99999999999784
376us315,2.9973539045089145e-11,0.9999999999699867
377us271,7.337717198132079e-08,0.9999999266228796
377us163,1.3313683611427446e-10,0.9999999998668727
378us1,1.405727417419951e-14,1.0
377us341,0.9999999999987494,1.2726109774983253e-12
378us108,3.75861853023695e-11,0.9999999999624265
378us368,1.0051170570076546e-13,0.9999999999998863
375us311,1.68429674858008e-14,1.0
380us503,0.06891877244726566,0.9310812275527315
380us513,3.026375975983213e-12,0.9999999999969305
381us214,1.0,6.978346961339999e-15
380us202,0.9999999999967031,3.3451352941144493e-12
381us532,0.014117725319097439,0.9858822746809224
379us343,1.0,5.4395749664716175e-14
380us609,2.671578885164468e-15,1.0
381us437,0.9999999999997726,2.581347092974979e-13
379us48,1.77261554712742e-14,1.0
381us357,0.10905511896037608,0.890944881039641
380us449,2.153191806769729e-14,1.0
379us559,8.63237528066326e-14,0.9999999999998863
381us90,0.02214347789262055,0.9778565221073662
380us479,9.307980906339456e-15,1.0
379us306,2.4790867568266643e-14,1.0
381us676,9.71174924409938e-13,0.9999999999989768
379us443,9.377830481757434e-16,1.0
379us89,3.1896619196184663e-13,0.9999999999996589
379us130,0.052463655012612805,0.9475363449873804
381us311,1.0,4.3105625726734235e-15
380us563,1.0,1.5913208080795202e-14
380us39,2.2949982822404108e-11,0.9999999999770353
381us1,1.0,1.0497382475697154e-14
384us270,7.260808152895241e-10,0.9999999992738822
383us502,1.0,1.7682976614588591e-16
384us808,1.1477676674587847e-11,0.9999999999885176
